HEM,STC,VWD,WD,UT,WFR,WTD,HTR
Release ,1.41,100,180,3,1.15,4.04,53.9
Release ,1.41,125,180,3,1.15,4.86,52
Extraction ,1.41,100,180,3,1.15,3.18,42.4
Extraction ,1.41,125,180,3,1.15,3.82,40.7
Release ,1.46,85,130,2.8,1.19,4.19,66.6
Release ,1.46,85,130,2.8,1.15,3.67,58.3
Release ,1.46,84,130,3.5,0.94,4.88,60.7
Extraction ,1.46,85,130,2.8,1.19,3.44,54.4
Extraction ,1.46,84,130,3.5,1.15,3.07,48.5
Extraction ,1.46,84,130,3.5,0.76,4,41.8
Release ,2.15,120,130,2.25,2,3.16,61.22
Release ,2.15,120,130,2.25,2,3.01,58.16
Extraction ,1.84,120,130,2.25,2,3,59.34
Extraction ,1.84,120,130,2.25,2,3,53.36
Release ,1.9,100,140,2.3,1.15,5.15,68.6
Extraction ,1.9,100,140,2.3,1.15,4,53.5
Release ,2.06,100,130,2.25,1.15,4.94,66
Release ,2.06,100,130,2.25,1.15,4.91,65.6
Extraction ,2.06,100,130,2.25,1.15,3.97,53
Extraction ,2.06,100,130,2.25,1.15,3.92,52.4
Release ,1.66,110,130,2.3,1.15,4.71,60.9
Release ,1.66,99,130,2.3,1.15,4.19,62.1
Extraction ,1.66,110,130,2.3,1.15,4.15,50.4
Extraction ,1.66,99,130,2.3,1.15,3.67,52
Release ,1.51,85,130,3,1.15,3.5,55
Release ,1.51,85,130,3,1.15,3.55,55.8
Extraction ,1.51,85,130,3,1.15,2.92,45.2
Extraction ,1.51,85,130,3,1.15,2.96,45.6
Release ,1.46,100,150,2.3,1.15,4.56,61
Release ,1.46,100,150,2.3,1.15,4.64,62
Extraction ,1.46,100,150,2.3,1.15,3.22,43
Extraction ,1.46,100,150,2.3,1.15,3.29,44
Release ,1.66,80,130,3,1.15,3.14,64.6
Extraction ,1.66,80,130,3,1.15,2.62,53.8
Release ,1.6,83,130,3,1.15,3.24,52.2
Release ,1.6,83,130,3,1.15,3.29,53
Extraction ,1.6,83,130,3,1.15,2.77,44.6
Extraction ,1.6,83,130,3,1.15,2.81,45.2
Release ,1.46,85,140,3,1.15,3.4,52.9
Extraction ,1.46,85,140,3,1.15,2.77,43.5
Release ,1.56,100,150,2.25,1.15,5.09,68
Release ,1.56,100,150,2.25,1.15,5.04,67.4
Extraction ,1.56,100,150,2.25,1.15,3.7,49.4
Extraction ,1.56,100,150,2.25,1.15,3.67,49
Release ,1.37,81,130,3,1.15,2.99,49.4
Extraction ,1.37,81,130,3,1.15,2.95,48.6
Release ,1.4,100,140,2.25,1.15,4.68,62
Extraction ,1.4,100,140,2.25,1.15,3.64,48
Release ,1.66,120,150,2.25,1.15,5.31,59.2
Release ,1.66,120,150,2.25,1.15,5.36,59.6
Extraction ,1.66,120,150,2.25,1.15,4.26,47.5
Extraction ,1.66,120,150,2.25,1.15,4.34,48.3
Release ,1.46,90,130,2.3,1.15,3.14,46.7
Release ,1.46,90,130,2.3,1.15,3.18,47.8
Extraction ,1.46,90,130,2.3,1.15,5.01,74.4
Release ,1.5,82,130,2.25,0.713,5.07,49.65
Release ,1.5,76,130,2.25,0.713,4.59,49.68
Release ,1.44,100,150,2.25,1.15,4.86,65
Release ,1.44,100,150,2.25,1.15,4.79,64
Extraction ,1.44,100,150,2.25,1.15,3.57,47.7
Extraction ,1.44,100,150,2.25,1.15,3.59,48
Release ,2.28,102,150,2.25,1.15,5.69,76
Release ,2.28,102,150,2.25,1.15,5.63,76.7
Extraction ,2.28,102,150,2.25,1.15,4.79,64
Extraction ,2.28,102,150,2.25,1.15,4.73,64.4
Release ,2.75,100,135,1.15,1.2,4.8,64
Extraction ,2.75,100,135,1.15,1.2,2.85,48
Release ,1.67,80,130,3.2,1.097,3.43,52
Release ,1.67,80,130,3.2,1.167,3.32,55
Extraction ,1.67,80,130,3.2,1.09,2.47,41
Extraction ,1.67,80,130,3.2,1.146,2.49,42
Release ,1.783,100,150,2.3,0.92,5.28,60.84
Release ,1.783,100,150,2.3,0.92,5.33,60.56
Release ,1.783,100,150,2.3,0.92,5.27,60.67
Release ,1.783,100,150,2.3,0.92,5.46,60.29
Extraction ,1.794,100,150,2.3,0.92,3.32,44.88
Extraction ,1.794,100,150,2.3,0.92,3.27,44.63
Extraction ,1.794,100,150,2.3,0.92,3.3,44.79
Extraction ,1.794,100,150,2.3,0.92,3.41,45.38
Release ,2.67,110,150,3,1.4,4.3,66.77
Release ,2.67,120,150,3,1.4,4.3,66.77
Extraction ,2.67,110,150,3,1.4,3.11,43.74
Extraction ,2.67,120,150,3,1.4,3.11,43.74
Release ,1.97,100,130,3,1.06,4.13,51.1
Extraction ,1.97,100,130,3,1.064,3.52,43.82
Release ,2.24,150,150,3,1.5,6,69.8
Extraction ,2.24,150,150,3,1.5,3.2,37.2
Release ,1.73,100,150,3,1.15,4.8,60.17
Release ,1.73,100,150,2.3,1.15,5.4,64.38
Extraction ,1.73,100,150,3,1.15,3.1,41.51
Extraction ,1.73,100,150,2.3,1.15,4.2,44.26
Release ,2.11,100,130,3,1.1,4.9,62.7
Release ,2.11,100,130,3,0.9,5.1,53.4
Release ,2.11,100,130,3,0.7,6.1,49.7
Release ,2.11,100,130,3,0.75,5,43.6
Release ,2.11,100,130,3,0.65,5.4,40.8
Release ,2.11,100,130,3,0.55,6.5,41.6
Extraction ,2.11,100,130,3,1.5,4.2,53.7
Release ,3.26,92.5,130,3,1.909,2.16,51.62
Release ,3.26,92.8,130,3,1.889,2.27,53.93
Extraction ,3.26,92.5,130,3,1.829,1.64,37.82
Extraction ,3.26,92.8,130,3,1.801,1.44,32.32
Release ,1.06,57.5,130,2.3,0.872,3.62,63.5
Release ,1.06,58.2,130,3,1.333,2.08,55.25
Extraction ,2.93,100,130,2.3,0.945,4.95,71.67
Extraction ,2.84,100,130,2.3,0.942,5.41,73.89
Release ,2.44,100,130,3,1.26,4.76,69.31
Release ,2.44,100,130,3,1.58,1.7,62.4
Extraction ,2.02,100,130,3,1.26,2.55,46.8
Extraction ,2.02,100,130,3,1.58,1.26,45.7
Release ,1.66,73,130,3,1.15,3.8,59.2
Release ,1.66,43,130,3,1.15,2.5,58.5
